id,value
flare,
flare.3.i'm,349
flare.3.man,332
flare.5.don't,198
flare.4.okay,193
flare.3.bro,174
flare.4.know,165
flare.7.subject,139
flare.4.like,133
flare.3.get,122
flare.4.it's,118
flare.4.good,110
flare.5.think,104
flare.2.oh,97
flare.4.i'll,95
flare.3.got,93
flare.3.see,93
flare.6.thanks,88
flare.3.one,88
flare.3.yes,87
flare.4.want,82
flare.4.need,81
flare.4.time,78
flare.4.dude,78
flare.6.that's,78
flare.3.yea,77
flare.6.really,74
flare.5.sorry,73
flare.5.would,72
flare.2.ok,72
flare.4.take,66
flare.4.feel,65
flare.5.gonna,62
flare.4.yeah,61
flare.3.lol,61
flare.4.much,60
flare.4.help,60
flare.4.sure,57
flare.5.going,57
flare.4.make,56
flare.5.can't,56
flare.5.still,52
flare.4.man.,52
flare.3.ask,52
flare.5.cause,52
flare.4.man,50
flare.3.idk,49
flare.4.send,48
flare.8.tomorrow,47
flare.4.find,47
flare.4.work,46
flare.6.didn't,46
flare.2.go,46
flare.3.bad,45
flare.5.class,44
flare.4.you?,43
flare.6.what's,43
flare.3.hey,42
flare.4.said,41
flare.5.today,41
flare.4.hard,41
flare.4.last,41
flare.5.right,40
flare.4.dont,40
flare.5.thank,39
flare.4.even,38
flare.5.maybe,38
flare.9.something,38
flare.4.exam,38
flare.4.life,37
flare.3.try,36
flare.4.next,36
flare.4.done,35
flare.8.remember,34
flare.5.okay,33
flare.4.tell,32
flare.4.come,32
flare.2.us,32
flare.6.you're,32
flare.5.email,32
flare.4.haha,31
flare.4.back,31
flare.5.check,30
flare.3.it?,30
flare.4.keep,30
flare.4.well,30
flare.4.mean,29
flare.3.let,29
flare.5.never,28
flare.6.things,28
flare.5.first,28
flare.4.give,27
flare.8.michelle,27
flare.4.fine,27
flare.6.right?,26
flare.2.im,26
flare.5.thing,26
flare.4.meet,26
flare.3.use,25
flare.5.could,25
flare.6.people,24
flare.5.what?,24
flare.3.say,24
flare.3.lot,24
flare.4.also,24
flare.4.damn,24
flare.7.thought,24
flare.6.better,23
flare.4.test,23
flare.6.friend,23
flare.8.anything,23
flare.4.long,23
flare.6.answer,22
flare.4.best,22
flare.3.way,22
flare.4.shit,22
flare.5.isn't,22
flare.4.sent,22
flare.4.hope,22
flare.4.made,22
flare.5.asked,21
flare.5.hours,21
flare.6.always,21
flare.4.idea,21
flare.4.look,21
flare.4.nice,21
flare.6.scared,21
flare.4.call,20
flare.3.yet,20
flare.6.coming,20
flare.4.food,20
flare.4.cost,20
flare.4.able,20
flare.6.you'll,20
flare.4.eric,20
flare.5.nigga,20
flare.4.i've,20
flare.5.phone,19
flare.6.wanted,19
flare.7.project,19
flare.10.everything,19
flare.4.cool,19
flare.4.talk,19
flare.6.trying,19
flare.8.semester,19
flare.7.problem,19
flare.4.book,19
flare.6.school,18
flare.5.okay.,18
flare.5.night,18
flare.7.emailed,18
flare.9.objective,18
flare.7.nothing,18
flare.7.looking,18
flare.3.day,18
flare.5.davis,18
flare.6.taking,18
flare.3.561,18
flare.4.told,17
flare.6.though,17
flare.5.let's,17
flare.4.he's,17
flare.7.haven't,17
flare.4.part,17
flare.7.exactly,17
flare.4.home,17
flare.10.understand,17
flare.3.me?,16
flare.5.wrong,16
flare.7.doesn't,16
flare.4.took,16
flare.4.says,16
flare.4.why?,16
flare.4.many,16
flare.4.bro,16
flare.5.start,16
flare.2.ta,16
flare.3.asu,16
flare.7.meeting,16
flare.5.won't,16
flare.3.job,16
flare.3.gre,16
flare.4.hate,15
flare.5.study,15
flare.4.luck,15
flare.6.linear,15
flare.4.free,15
flare.4.mind,15
flare.4.cant,15
flare.4.city,15
flare.7.working,15
flare.2.10,15
flare.3.sad,15
flare.4.week,15
flare.4.soon,15
flare.5.might,15
flare.3.put,15
flare.4.dang,15
flare.4.used,15
flare.5.didnt,15
flare.2.hw,15
flare.3.new,14
flare.4.hang,14
flare.6.asking,14
flare.3.mad,14
flare.3.low,14
flare.3.it.,14
flare.3.set,14
flare.6.please,14
flare.9.questions,14
flare.4.bruh,14
flare.5.stuff,14
flare.4.wish,14
flare.5.time?,14
flare.4.ever,13
flare.3.end,13
flare.4.👍,13
flare.3.do?,13
flare.5.okay?,13
flare.4.till,13
flare.5.later,13
flare.4.pick,13
flare.5.sense,13
flare.6.messed,13
flare.8.everyone,13
flare.6.missed,13
flare.3.add,13
flare.5.kinda,13
flare.5.write,13
flare.6.second,12
flare.6.aren't,12
flare.4.went,12
flare.7.there's,12
flare.3.old,12
flare.5.group,12
flare.4.care,12
flare.6.little,12
flare.4.data,12
flare.5.worry,12
flare.5.solve,12
flare.4.real,12
flare.6.around,12
flare.8.question,12
flare.5.that?,12
flare.7.tonight,12
flare.5.stage,12
flare.7.getting,12
flare.3.up?,11
flare.3.i'd,11
flare.5.times,11
flare.6.thesis,11
flare.7.already,11
flare.3.top,11
flare.4.left,11
flare.4.plus,11
flare.4.fuck,11
flare.3.kkk,11
flare.4.show,11
flare.5.meric,11
flare.4.man?,11
flare.5.noble,11
flare.4.read,11
flare.4.you.,11
flare.5.tried,11
flare.8.actually,11
flare.6.number,11
flare.3.gpa,11
flare.7.nervous,11
flare.6.pretty,11
flare.8.probably,11
flare.4.nope,11
flare.7.started,11
flare.5.meant,11
flare.3.hmm,11
flare.10.regression,11
flare.3.pic,11
flare.6.forgot,10
flare.2.rn,10
flare.4.gave,10
flare.5.super,10
flare.3.no,10
flare.8.happened,10
flare.4.year,10
flare.7.worried,10
flare.6.review,10
flare.3.pay,10
flare.5.askin,10
flare.5.costs,10
flare.3.nah,10
flare.6.summer,10
flare.3.far,10
flare.5.know.,10
flare.5.found,10
flare.5.guess,10
flare.5.yeah,10
flare.3.wow,10
flare.4.else,10
flare.5.lower,10
flare.3.bit,10
flare.5.we're,10
flare.8.download,10
flare.6.figure,10
flare.5.watch,10
flare.8.honestly,10
flare.5.looks,10
flare.5.final,10
flare.6.slides,10
flare.4.text,10
flare.4.one?,10
flare.5.score,10
flare.4.ones,10
flare.5.sleep,9
flare.4.safe,9
flare.6.about?,9
flare.5.them?,9
flare.6.rowing,9
flare.10.experience,9
flare.3.min,9
flare.3.die,9
flare.5.leave,9
flare.4.sign,9
flare.5.place,9
flare.3.two,9
flare.2.20,9
flare.7.someone,9
flare.6.email?,9
flare.3.iee,9
flare.6.what'd,9
flare.3.big,9
flare.6.called,9
flare.5.thats,9
flare.5.mean?,9
flare.3.key,9
flare.3.461,9
flare.8.practice,9
flare.8.position,9
flare.8.atkinson,9
flare.4.now?,9
flare.8.function,9
flare.6.today?,8
flare.3.me,8
flare.4.mess,8
flare.3.lab,8
flare.4.how?,8
flare.6.shivam,8
flare.3.me.,8
flare.4.tool,8
flare.7.respond,8
flare.3.381,8
flare.3.ill,8
flare.8.studying,8
flare.3.rn?,8
flare.3.yep,8
flare.8.capstone,8
flare.6.models,8
flare.7.teacher,8
flare.3.boy,8
flare.6.wrong?,8
flare.4.name,8
flare.6.anyone,8
flare.6.online,8
flare.7.worries,8
flare.4.man!,8
flare.8.couldn't,8
flare.5.model,8
flare.5.money,8
flare.8.thinking,8
flare.6.either,8
flare.8.problems,8
flare.3.hw?,8
flare.9.important,8
flare.6.forget,8
flare.4.case,8
flare.8.thursday,8
flare.4.isnt,8
flare.6.finish,8
flare.8.research,8
flare.4.miss,8
flare.7.without,8
flare.5.wrote,8
flare.6.matter,8
flare.8.wouldn't,8
flare.5.whole,8
flare.6.flight,8
flare.5.dude,8
flare.5.help?,8
flare.7.explain,8
flare.6.looked,8
flare.3.eat,8
flare.7.calling,8
flare.3.btw,8
flare.3.578,8
flare.5.value,8
flare.3.phd,8
flare.6.monday,8
flare.5.every,7
flare.4.kids,7
flare.7.they're,7
flare.5.order,7
flare.4.fall,7
flare.5.grade,7
flare.7.don’t,7
flare.4.mine,7
flare.3.dr.,7
flare.4.lmao,7
flare.6.i’ll,7
flare.8.thoughts,7
flare.3.kid,7
flare.7.chapter,7
flare.4.for?,7
flare.5.happy,7
flare.8.together,7
flare.4.say?,7
flare.4.fake,7
flare.4.clue,7
flare.6.making,7
flare.7.awesome,7
flare.7.formula,7
flare.4.open,7
flare.5.sheet,7
flare.2.11,7
flare.5.gotta,7
flare.3.saw,7
flare.7.forever,7
flare.3.gel,7
flare.7.outside,7
flare.5.wants,7
flare.4.bro?,7
flare.4.spss,7
flare.3.376,7
flare.9.tomorrow?,7
flare.5.hurry,7
flare.4.glad,7
flare.4.hour,7
flare.7.numbers,7
flare.3.ok,7
flare.4.late,7
flare.5.since,7
flare.6.friday,7
flare.4.plan,7
flare.7.classes,7
flare.5.point,7
flare.4.hey,7
flare.3.fun,7
flare.5.funny,7
flare.4.task,7
flare.7.excited,7
flare.6.spring,7
flare.6.points,7
flare.7.include,7
flare.5.that.,7
flare.7.leaving,7
flare.5.makes,7
flare.5.apply,7
flare.6.class?,7
flare.7.instead,7
flare.4.turn,7
flare.6.pavlic,7
flare.5.upset,7
flare.4.one.,7
flare.8.computer,7
flare.8.finished,7
flare.5.this?,7
flare.6.campus,7
flare.6.today.,6
flare.5.ready,6
flare.4.days,6
flare.9.requisite,6
flare.7.talking,6
flare.4.came,6
flare.4.busy,6
flare.4.news,6
flare.3.air,6
flare.2.5?,6
flare.4.dead,6
flare.4.felt,6
flare.4.died,6
flare.5.focus,6
flare.5.graph,6
flare.5.extra,6
flare.5.https,6
flare.3.non,6
flare.4.wont,6
flare.5.soon.,6
flare.7.morning,6
flare.4.grad,6
flare.2.15,6
flare.2.#2,6
flare.4.jobs,6
flare.7.what're,6
flare.3.it,6
flare.9.different,6
flare.2.ch,6
flare.6.sorry,6
flare.6.sorry!,6
flare.8.jennings,6
flare.6.wasn't,6
flare.12.presentation,6
flare.4.him?,6
flare.7.answers,6
flare.5.ain't,6
flare.5.sucks,6
flare.4.huge,6
flare.5.plane,6
flare.7.anytime,6
flare.4.too.,6
flare.7.another,6
flare.5.story,6
flare.7.totally,6
flare.5.least,6
flare.5.feel?,6
flare.6.pissed,6
flare.6.there?,6
flare.7.anymore,6
flare.9.yesterday,6
flare.5.using,6
flare.11.generalized,6
flare.6.google,6
flare.8.syllabus,6
flare.5.notes,6
flare.7.control,6
flare.5.doubt,6
flare.3.sir,6
flare.6.bother,6
flare.5.rough,6
flare.5.based,6
flare.9.brickyard,6
flare.5.legit,6
flare.7.tuesday,6
flare.6.fucked,6
flare.4.page,6
flare.3.in?,6
